id,name,species,culmen depth (mm),culmen length (mm),flipper length (mm),mass (kg)
N34A2,lyndale,Gentoo,16.3,51.5,230.0,5.5
N32A1,drexel,Adelie,16.6,35.9,190.0,3.05
N56A2,delaware,Gentoo,16.0,48.6,230.0,5.8
N20A2,phillips,Gentoo,16.8,49.8,230.0,5.7
N65A2,south shore,Chinstrap,18.8,51.0,203.0,4.1
N88A2,sanford,Chinstrap,17.3,49.8,198.0,3.675
N96A2,warner,Chinstrap,16.5,46.8,189.0,3.65
N83A2,woodward,Adelie,18.4,36.6,184.0,3.475
N53A1,foster,Gentoo,14.2,43.5,220.0,4.7
N78A1,memory,Adelie,17.5,35.6,191.0,3.175
N28A1,leavenworth,Adelie,16.9,37.0,185.0,3.0
N65A1,west circle,Chinstrap,16.7,42.5,187.0,3.35
N19A1,sunnyside,Gentoo,13.9,45.7,214.0,4.4
N36A2,paulina,Gentoo,16.1,49.0,216.0,5.55
N6A1,oswego,Gentoo,13.7,42.7,208.0,3.95
N2A1,baltimore,Gentoo,14.8,49.1,220.0,5.15
N90A2,ruble,Chinstrap,19.0,51.4,201.0,3.95
N41A2,seminole,Gentoo,14.5,45.1,215.0,5.0
N10A1,pavilion plaza,Adelie,18.4,34.4,184.0,3.325
N69A1,montana,Chinstrap,17.3,47.0,185.0,3.7
N6A1,lyman,Adelie,17.1,37.8,186.0,3.3
N63A1,new,Chinstrap,16.6,40.9,187.0,3.2
N45A1,fern,Adelie,18.0,35.7,202.0,3.55
N27A2,ogden,Adelie,19.7,44.1,196.0,4.4
N83A1,komensky,Adelie,18.6,39.2,190.0,4.25
N35A2,edmaire,Adelie,18.9,45.8,197.0,4.15
N70A1,hillock,Chinstrap,17.1,45.9,190.0,3.575
N5A1,delano,Adelie,18.1,34.1,193.0,3.475
N55A2,lyon,Adelie,19.0,43.2,197.0,4.775
N49A1,abbott,Adelie,18.6,38.1,190.0,3.7
N73A1,granville,Adelie,17.9,38.5,190.0,3.325
N24A2,parnell,Gentoo,16.1,46.8,215.0,5.5
N67A1,crilly,Chinstrap,18.9,46.0,195.0,4.15
N46A1,fairfield,Gentoo,14.3,44.5,216.0,4.1
